Date : 2026-03-20 03:03:11
Directory : e:\Projects\icarus
Total : 347 files,  37981 codes, 2032 comments, 4665 blanks, all 44678 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| lib\widgets\draggable_widgets\ability                                                           |          8 |        889 |         76 |         89 |      1,054 |
| lib\widgets\draggable_widgets\agents                                                            |          3 |        269 |         11 |         36 |        316 |
| lib\widgets\draggable_widgets\image                                                             |          3 |        480 |          7 |         38 |        525 |
| lib\widgets\draggable_widgets\text                                                              |          3 |        335 |          5 |         26 |        366 |
| lib\widgets\draggable_widgets\utilities                                                         |          6 |        656 |         33 |         79 |        768 |
| lib\widgets\sidebar_widgets                                                                     |         14 |      1,916 |         94 |        119 |      2,129 |
| lib\widgets\strategy_tile                                                                       |          2 |        470 |          0 |         45 |        515 |
| linux                                                                                           |          5 |        130 |         33 |         44 |        207 |
| linux (Files)                                                                                   |          3 |         94 |         24 |         33 |        151 |
| linux\flutter                                                                                   |          2 |         36 |          9 |         11 |         56 |
| macos                                                                                           |          6 |        467 |          5 |         17 |        489 |
| macos\Flutter                                                                                   |          1 |         26 |          3 |          4 |         33 |
| macos\Runner                                                                                    |          4 |        434 |          0 |          9 |        443 |
| macos\Runner (Files)                                                                            |          2 |         23 |          0 |          7 |         30 |
| macos\RunnerTests                                                                               |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                    |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                 |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                         |          1 |        343 |          0 |          1 |        344 |
| scripts                                                                                         |          1 |        133 |         31 |         30 |        194 |
| test                                                                                            |          5 |        693 |          8 |        121 |        822 |
| tool                                                                                            |          1 |         33 |          0 |          2 |         35 |
| web                                                                                             |          2 |         54 |         15 |          6 |         75 |
| windows                                                                                         |         10 |        574 |         99 |        164 |        837 |
| windows\flutter                                                                                 |          2 |         32 |          9 |         11 |         52 |
| windows\runner                                                                                  |          8 |        542 |         90 |        153 |        785 |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                        | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| e:\Projects\icarus\.cursor\rules\code-gen-rules.mdc                                             | Markdown           |         10 |          0 |          4 |         14 |
| e:\Projects\icarus\.cursor\rules\use-bun-instead-of-node-vite-npm-pnpm.mdc                      | Markdown           |         87 |          0 |         25 |        112 |
| e:\Projects\icarus\.cursor\skills\frontend-design\SKILL.md                                      | Markdown           |         30 |          0 |         13 |         43 |
| e:\Projects\icarus\.zed\debug.json                                                              | JSON               |          9 |          0 |          1 |         10 |
| e:\Projects\icarus\.zed\tasks.json                                                              | JSON with Comments |         51 |        147 |          4 |        202 |
| e:\Projects\icarus\AGENTS.md                                                                    | Markdown           |         15 |          0 |          7 |         22 |
| e:\Projects\icarus\LICENSE.md                                                                   | Markdown           |         10 |          0 |          5 |         15 |
| e:\Projects\icarus\README.md                                                                    | Markdown           |         42 |          0 |         14 |         56 |
| e:\Projects\icarus\analysis_options.yaml                                                        | YAML               |          6 |         22 |          4 |         32 |
| e:\Projects\icarus\android\app\build.gradle                                                     | Groovy             |         44 |          6 |          9 |         59 |
| e:\Projects\icarus\android\app\src\debug\AndroidManifest.xml                                    | XML                |          3 |          4 |          1 |          8 |
| e:\Projects\icarus\android\app\src\main\AndroidManifest.xml                                     | XML                |         34 |         11 |          1 |         46 |
| e:\Projects\icarus\android\app\src\main\res\drawable-v21\launch_background.xml                  | XML                |          4 |          7 |          2 |         13 |
| e:\Projects\icarus\android\app\src\main\res\drawable\launch_background.xml                      | XML                |          4 |          7 |          2 |         13 |
| e:\Projects\icarus\android\app\src\main\res\values-night\styles.xml                             | XML                |          9 |          9 |          1 |         19 |
| e:\Projects\icarus\android\app\src\main\res\values\styles.xml                                   | XML                |          9 |          9 |          1 |         19 |
| e:\Projects\icarus\android\app\src\profile\AndroidManifest.xml                                  | XML                |          3 |          4 |          1 |          8 |
| e:\Projects\icarus\android\build.gradle                                                         | Groovy             |         16 |          0 |          3 |         19 |
| e:\Projects\icarus\android\gradle.properties                                                    | Properties         |          3 |          0 |          1 |          4 |
| e:\Projects\icarus\android\gradle\wrapper\gradle-wrapper.properties                             | Properties         |          5 |          0 |          1 |          6 |
| e:\Projects\icarus\android\settings.gradle                                                      | Groovy             |         21 |          0 |          5 |         26 |
| e:\Projects\icarus\assets\folder_tile.svg                                                       | XML                |          4 |          0 |          1 |          5 |
| e:\Projects\icarus\assets\fonts\config.json                                                     | JSON               |        122 |          0 |          0 |        122 |
| e:\Projects\icarus\assets\maps\abyss_call_outs.svg                                              | XML                |         65 |          0 |          1 |         66 |
| e:\Projects\icarus\assets\maps\abyss_call_outs_defense.svg                                      | XML                |         65 |          0 |          1 |         66 |
| e:\Projects\icarus\assets\maps\abyss_map.svg                                                    | XML                |         22 |          0 |          1 |         23 |
| e:\Projects\icarus\assets\maps\abyss_map_defense.svg                                            | XML                |         22 |          0 |          1 |         23 |
| e:\Projects\icarus\assets\maps\abyss_spawn_walls.svg                                            | XML                |         11 |          0 |          1 |         12 |
| e:\Projects\icarus\assets\maps\abyss_ult_orbs.svg                                               | XML                |          6 |          0 |          1 |          7 |
| e:\Projects\icarus\assets\maps\ascent_call_outs.svg                                             | XML                |         62 |          0 |          1 |         63 |
| e:\Projects\icarus\assets\maps\ascent_call_outs_defense.svg                                     | XML                |         62 |          0 |          1 |         63 |
| e:\Projects\icarus\assets\maps\ascent_map.svg                                                   | XML                |         20 |          0 |          1 |         21 |
| e:\Projects\icarus\assets\maps\ascent_map_defense.svg                                           | XML                |         20 |          0 |          1 |         21 |
| e:\Projects\icarus\assets\maps\ascent_map_spawn_wall.svg                                        | XML                |         12 |          0 |          1 |         13 |
| e:\Projects\icarus\assets\maps\ascent_spawn_walls.svg                                           | XML                |         12 |          0 |          1 |         13 |
| e:\Projects\icarus\assets\maps\ascent_ult_orbs.svg                                              | XML                |          6 |          0 |          1 |          7 |
| e:\Projects\icarus\assets\maps\bind_call_outs.svg                                               | XML                |         68 |          0 |          1 |         69 |
| e:\Projects\icarus\assets\maps\bind_call_outs_defense.svg                                       | XML                |         68 |          0 |          1 |         69 |
| e:\Projects\icarus\assets\maps\bind_map.svg                                                     | XML                |         25 |          0 |          1 |         26 |
| e:\Projects\icarus\assets\maps\bind_map_defense.svg                                             | XML                |         25 |          0 |          1 |         26 |
| e:\Projects\icarus\assets\maps\bind_spawn_walls.svg                                             | XML                |         12 |          0 |          1 |         13 |
| e:\Projects\icarus\assets\maps\bind_ult_orbs.svg                                                | XML                |          6 |          0 |          1 |          7 |
| e:\Projects\icarus\assets\maps\breeze_call_outs.svg                                             | XML                |         65 |          0 |          1 |         66 |
| e:\Projects\icarus\assets\maps\breeze_call_outs_defense.svg                                     | XML                |         65 |          0 |          1 |         66 |
| e:\Projects\icarus\assets\maps\breeze_map.svg                                                   | XML                |         13 |          0 |          1 |         14 |
| e:\Projects\icarus\assets\maps\breeze_map_defense.svg                                           | XML                |         13 |          0 |          1 |         14 |
| e:\Projects\icarus\assets\maps\breeze_spawn_walls.svg                                           | XML                |         12 |          0 |          1 |         13 |
| e:\Projects\icarus\assets\maps\breeze_ult_orbs.svg                                              | XML                |          6 |          0 |          1 |          7 |
| e:\Projects\icarus\assets\maps\corrode_call_outs.svg                                            | XML                |         59 |          0 |          1 |         60 |
| e:\Projects\icarus\assets\maps\corrode_call_outs_defense.svg                                    | XML                |         59 |          0 |          1 |         60 |
| e:\Projects\icarus\assets\maps\corrode_map.svg                                                  | XML                |         15 |          0 |          1 |         16 |
| e:\Projects\icarus\assets\maps\corrode_map_defense.svg                                          | XML                |         15 |          0 |          1 |         16 |
| e:\Projects\icarus\assets\maps\corrode_spawn_walls.svg                                          | XML                |         11 |          0 |          1 |         12 |
| e:\Projects\icarus\assets\maps\corrode_ult_orbs.svg                                             | XML                |          6 |          0 |          1 |          7 |
| e:\Projects\icarus\assets\maps\fracture_call_outs.svg                                           | XML                |         62 |          0 |          1 |         63 |
| e:\Projects\icarus\assets\maps\fracture_call_outs_defense.svg                                   | XML                |         62 |          0 |          1 |         63 |
| e:\Projects\icarus\assets\maps\fracture_map.svg                                                 | XML                |         27 |          0 |          1 |         28 |
| e:\Projects\icarus\assets\maps\fracture_map_defense.svg                                         | XML                |         27 |          0 |          1 |         28 |
| e:\Projects\icarus\assets\maps\fracture_spawn_walls.svg                                         | XML                |         13 |          0 |          1 |         14 |
| e:\Projects\icarus\assets\maps\fracture_ult_orbs.svg                                            | XML                |         10 |          0 |          1 |         11 |
| e:\Projects\icarus\assets\maps\haven_call_outs.svg                                              | XML                |         56 |          0 |          1 |         57 |
| e:\Projects\icarus\assets\maps\haven_call_outs_defense.svg                                      | XML                |         56 |          0 |          1 |         57 |
| e:\Projects\icarus\assets\maps\haven_map.svg                                                    | XML                |         17 |          0 |          1 |         18 |
| e:\Projects\icarus\assets\maps\haven_map_defense.svg                                            | XML                |         17 |          0 |          1 |         18 |
| e:\Projects\icarus\assets\maps\haven_spawn_walls.svg                                            | XML                |         11 |          0 |          1 |         12 |
| e:\Projects\icarus\assets\maps\haven_ult_orbs.svg                                               | XML                |          6 |          0 |          1 |          7 |
| e:\Projects\icarus\assets\maps\icebox_call_outs.svg                                             | XML                |         71 |          0 |          1 |         72 |
| e:\Projects\icarus\assets\maps\icebox_call_outs_defense.svg                                     | XML                |         71 |          0 |          1 |         72 |
| e:\Projects\icarus\assets\maps\icebox_map.svg                                                   | XML                |         27 |          0 |          1 |         28 |
| e:\Projects\icarus\assets\maps\icebox_map_defense.svg                                           | XML                |         27 |          0 |          1 |         28 |
| e:\Projects\icarus\assets\maps\icebox_spawn_walls.svg                                           | XML                |         14 |          0 |          1 |         15 |
| e:\Projects\icarus\assets\maps\icebox_ult_orbs.svg                                              | XML                |          6 |          0 |          1 |          7 |
| e:\Projects\icarus\assets\maps\lotus_call_outs.svg                                              | XML                |         71 |          0 |          1 |         72 |
| e:\Projects\icarus\assets\maps\lotus_call_outs_defense.svg                                      | XML                |         71 |          0 |          1 |         72 |
| e:\Projects\icarus\assets\maps\lotus_map.svg                                                    | XML                |         23 |          0 |          1 |         24 |
| e:\Projects\icarus\assets\maps\lotus_map_defense.svg                                            | XML                |         23 |          0 |          1 |         24 |
| e:\Projects\icarus\assets\maps\lotus_spawn_walls.svg                                            | XML                |          9 |          0 |          1 |         10 |
| e:\Projects\icarus\assets\maps\lotus_ult_orbs.svg                                               | XML                |          6 |          0 |          1 |          7 |
| e:\Projects\icarus\assets\maps\pearl_call_outs.svg                                              | XML                |         74 |          0 |          1 |         75 |
| e:\Projects\icarus\assets\maps\pearl_call_outs_defense.svg                                      | XML                |         74 |          0 |          1 |         75 |
| e:\Projects\icarus\assets\maps\pearl_map.svg                                                    | XML                |         32 |          0 |          1 |         33 |
| e:\Projects\icarus\assets\maps\pearl_map_defense.svg                                            | XML                |         32 |          0 |          1 |         33 |
| e:\Projects\icarus\assets\maps\pearl_spawn_walls.svg                                            | XML                |         10 |          0 |          1 |         11 |
| e:\Projects\icarus\assets\maps\pearl_ult_orbs.svg                                               | XML                |          6 |          0 |          1 |          7 |
| e:\Projects\icarus\assets\maps\split_call_outs.svg                                              | XML                |         68 |          0 |          1 |         69 |
| e:\Projects\icarus\assets\maps\split_call_outs_defense.svg                                      | XML                |         68 |          0 |          1 |         69 |
| e:\Projects\icarus\assets\maps\split_map.svg                                                    | XML                |         31 |          0 |          1 |         32 |
| e:\Projects\icarus\assets\maps\split_map_defense.svg                                            | XML                |         31 |          0 |          1 |         32 |
| e:\Projects\icarus\assets\maps\split_spawn_walls.svg                                            | XML                |         11 |          0 |          1 |         12 |
| e:\Projects\icarus\assets\maps\split_ult_orbs.svg                                               | XML                |          6 |          0 |          1 |          7 |
| e:\Projects\icarus\assets\maps\sunsent_map.svg                                                  | XML                |         26 |          0 |          1 |         27 |
| e:\Projects\icarus\assets\maps\sunsent_map_defense.svg                                          | XML                |         26 |          0 |          1 |         27 |
| e:\Projects\icarus\assets\maps\sunset_call_outs.svg                                             | XML                |         47 |          0 |          1 |         48 |
| e:\Projects\icarus\assets\maps\sunset_call_outs_defense.svg                                     | XML                |         47 |          0 |          1 |         48 |
| e:\Projects\icarus\assets\maps\sunset_map.svg                                                   | XML                |         30 |          0 |          1 |         31 |
| e:\Projects\icarus\assets\maps\sunset_map_defense.svg                                           | XML                |         30 |          0 |          1 |         31 |
| e:\Projects\icarus\assets\maps\sunset_spawn_walls.svg                                           | XML                |         12 |          0 |          1 |         13 |
| e:\Projects\icarus\assets\maps\sunset_ult_orbs.svg                                              | XML                |          6 |          0 |          1 |          7 |
| e:\Projects\icarus\assets\spike.svg                                                             | XML                |          6 |          0 |          1 |          7 |
| e:\Projects\icarus\build_script.dart                                                            | Dart               |         34 |          5 |         14 |         53 |
| e:\Projects\icarus\bun.lock                                                                     | JSON with Comments |         55 |          0 |         35 |         90 |
| e:\Projects\icarus\convex\_generated\api.d.ts                                                   | TypeScript         |         44 |         25 |          7 |         76 |
| e:\Projects\icarus\convex\_generated\api.js                                                     | JavaScript         |          4 |         17 |          3 |         24 |
| e:\Projects\icarus\convex\_generated\dataModel.d.ts                                             | TypeScript         |         16 |         39 |          6 |         61 |
| e:\Projects\icarus\convex\_generated\server.d.ts                                                | TypeScript         |         24 |        106 |         14 |        144 |
| e:\Projects\icarus\convex\_generated\server.js                                                  | JavaScript         |         16 |         69 |          9 |         94 |
| e:\Projects\icarus\convex\auth.config.ts                                                        | TypeScript         |         12 |          0 |          2 |         14 |
| e:\Projects\icarus\convex\elements.ts                                                           | TypeScript         |         36 |          0 |          5 |         41 |
| e:\Projects\icarus\convex\folders.ts                                                            | TypeScript         |        152 |          0 |         26 |        178 |
| e:\Projects\icarus\convex\health.ts                                                             | TypeScript         |          7 |          1 |          1 |          9 |
| e:\Projects\icarus\convex\images.ts                                                             | TypeScript         |        125 |          0 |         17 |        142 |
| e:\Projects\icarus\convex\invites.ts                                                            | TypeScript         |        167 |          0 |         26 |        193 |
| e:\Projects\icarus\convex\lib\auth.ts                                                           | TypeScript         |         60 |          0 |         15 |         75 |
| e:\Projects\icarus\convex\lib\entities.ts                                                       | TypeScript         |         74 |          0 |         18 |         92 |
| e:\Projects\icarus\convex\lib\errors.ts                                                         | TypeScript         |         10 |          0 |          2 |         12 |
| e:\Projects\icarus\convex\lib\opTypes.ts                                                        | TypeScript         |         25 |          0 |          4 |         29 |
| e:\Projects\icarus\convex\lineups.ts                                                            | TypeScript         |         35 |          0 |          5 |         40 |
| e:\Projects\icarus\convex\ops.ts                                                                | TypeScript         |        475 |          1 |         29 |        505 |
| e:\Projects\icarus\convex\pages.ts                                                              | TypeScript         |        222 |          0 |         36 |        258 |
| e:\Projects\icarus\convex\schema.ts                                                             | TypeScript         |        135 |          1 |          4 |        140 |
| e:\Projects\icarus\convex\strategies.ts                                                         | TypeScript         |        248 |          0 |         41 |        289 |
| e:\Projects\icarus\convex\users.ts                                                              | TypeScript         |         58 |          0 |         10 |         68 |
