"filename", "language", "Markdown", "Dart", "JSON with Comments", "C++", "JSON", "HTML", "XML", "PowerShell", "YAML", "Swift", "Groovy", "Properties", "TypeScript", "JavaScript", "comment", "blank", "total"
"e:\Projects\icarus\assets\maps\bind_call_outs.svg", "XML", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"e:\Projects\icarus\assets\maps\bind_call_outs_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"e:\Projects\icarus\assets\maps\bind_map.svg", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"e:\Projects\icarus\assets\maps\bind_map_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"e:\Projects\icarus\assets\maps\bind_spawn_walls.svg", "XML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"e:\Projects\icarus\assets\maps\bind_ult_orbs.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Projects\icarus\assets\maps\breeze_call_outs.svg", "XML", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 1, 66
"e:\Projects\icarus\assets\maps\breeze_call_outs_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 1, 66
"e:\Projects\icarus\assets\maps\breeze_map.svg", "XML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"e:\Projects\icarus\assets\maps\breeze_map_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"e:\Projects\icarus\assets\maps\breeze_spawn_walls.svg", "XML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"e:\Projects\icarus\assets\maps\breeze_ult_orbs.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Projects\icarus\assets\maps\corrode_call_outs.svg", "XML", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
"e:\Projects\icarus\assets\maps\corrode_call_outs_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
"e:\Projects\icarus\assets\maps\corrode_map.svg", "XML", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"e:\Projects\icarus\assets\maps\corrode_map_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"e:\Projects\icarus\assets\maps\corrode_spawn_walls.svg", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"e:\Projects\icarus\assets\maps\corrode_ult_orbs.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Projects\icarus\assets\maps\fracture_call_outs.svg", "XML", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 1, 63
"e:\Projects\icarus\assets\maps\fracture_call_outs_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 1, 63
"e:\Projects\icarus\assets\maps\fracture_map.svg", "XML", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"e:\Projects\icarus\assets\maps\fracture_map_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"e:\Projects\icarus\assets\maps\fracture_spawn_walls.svg", "XML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"e:\Projects\icarus\assets\maps\fracture_ult_orbs.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"e:\Projects\icarus\assets\maps\haven_call_outs.svg", "XML", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"e:\Projects\icarus\assets\maps\haven_call_outs_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"e:\Projects\icarus\assets\maps\haven_map.svg", "XML", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"e:\Projects\icarus\assets\maps\haven_map_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"e:\Projects\icarus\assets\maps\haven_spawn_walls.svg", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"e:\Projects\icarus\assets\maps\haven_ult_orbs.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Projects\icarus\assets\maps\icebox_call_outs.svg", "XML", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 1, 72
"e:\Projects\icarus\assets\maps\icebox_call_outs_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 1, 72
"e:\Projects\icarus\assets\maps\icebox_map.svg", "XML", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"e:\Projects\icarus\assets\maps\icebox_map_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"e:\Projects\icarus\assets\maps\icebox_spawn_walls.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"e:\Projects\icarus\assets\maps\icebox_ult_orbs.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Projects\icarus\assets\maps\lotus_call_outs.svg", "XML", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 1, 72
"e:\Projects\icarus\assets\maps\lotus_call_outs_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 1, 72
"e:\Projects\icarus\assets\maps\lotus_map.svg", "XML", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"e:\Projects\icarus\assets\maps\lotus_map_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"e:\Projects\icarus\assets\maps\lotus_spawn_walls.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\Projects\icarus\assets\maps\lotus_ult_orbs.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Projects\icarus\assets\maps\pearl_call_outs.svg", "XML", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 1, 75
"e:\Projects\icarus\assets\maps\pearl_call_outs_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 1, 75
"e:\Projects\icarus\assets\maps\pearl_map.svg", "XML", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"e:\Projects\icarus\assets\maps\pearl_map_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"e:\Projects\icarus\assets\maps\pearl_spawn_walls.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"e:\Projects\icarus\assets\maps\pearl_ult_orbs.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Projects\icarus\assets\maps\split_call_outs.svg", "XML", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"e:\Projects\icarus\assets\maps\split_call_outs_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"e:\Projects\icarus\assets\maps\split_map.svg", "XML", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"e:\Projects\icarus\assets\maps\split_map_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"e:\Projects\icarus\assets\maps\split_spawn_walls.svg", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
